region,solar_day,distance_px,n_pixels,nbart_blue,nbart_green,nbart_red,nbart_red_edge_1,nbart_red_edge_2,nbart_red_edge_3,nbart_nir_1,nbart_nir_2,nbart_swir_2,nbart_swir_3
tas_west_cloud,2023-06-01,1,737,1.705069124423963,1.8035264483627205,2.0414201183431953,1.4745454545454546,1.2919254658385093,1.2777101096224117,1.3463143254520167,1.280701754385965,1.834862385321101,2.1594827586206895
tas_west_cloud,2023-06-01,2,767,1.6359447004608294,1.7027707808564232,1.8994082840236686,1.430909090909091,1.2459627329192546,1.2192448233861144,1.2865090403337969,1.2292397660818712,1.7553516819571866,2.0948275862068964
tas_west_cloud,2023-06-01,3,1018,1.5806451612903225,1.649874055415617,1.8076923076923077,1.4072727272727272,1.2472049689440994,1.220462850182704,1.2816411682892908,1.2292397660818712,1.614678899082569,1.9439655172413792
tas_west_cloud,2023-06-01,4,1118,1.5921658986175116,1.6272040302267003,1.7692307692307692,1.410909090909091,1.2484472049689441,1.2119366626065773,1.2510431154381085,1.1976608187134503,1.6085626911314985,1.8857758620689655
tas_west_cloud,2023-06-01,5,1495,1.5944700460829493,1.6397984886649875,1.757396449704142,1.4,1.2434782608695651,1.1997563946406822,1.2531293463143254,1.1883040935672515,1.5688073394495412,1.8146551724137931
tas_west_cloud,2023-06-01,6,1319,1.6013824884792627,1.6397984886649875,1.7485207100591715,1.4236363636363636,1.2534161490683229,1.2046285018270402,1.2642559109874827,1.2035087719298245,1.5504587155963303,1.771551724137931
tas_west_cloud,2023-06-01,7,1351,1.5921658986175116,1.6322418136020151,1.7840236686390532,1.3927272727272728,1.2596273291925466,1.2168087697929355,1.3087621696801113,1.2280701754385965,1.5382262996941896,1.7413793103448276
tas_west_cloud,2023-06-01,8,1539,1.5944700460829493,1.6272040302267003,1.7455621301775148,1.3872727272727272,1.2583850931677019,1.2216808769792935,1.3045897079276774,1.2198830409356725,1.5596330275229358,1.7198275862068966
tas_west_cloud,2023-06-01,9,1505,1.587557603686636,1.6246851385390428,1.7366863905325445,1.3909090909090909,1.2720496894409938,1.2302070645554202,1.3045897079276774,1.2304093567251462,1.547400611620795,1.6810344827586208
tas_west_cloud,2023-06-01,10,1543,1.5691244239631337,1.5944584382871536,1.698224852071006,1.3872727272727272,1.270807453416149,1.227771010962241,1.2753824756606398,1.2280701754385965,1.4617737003058104,1.5862068965517242
tas_west_cloud,2023-06-01,11,1257,1.4539170506912442,1.4836272040302267,1.5562130177514792,1.329090909090909,1.2372670807453416,1.194884287454324,1.1988873435326843,1.1976608187134503,1.3516819571865444,1.4482758620689655
tas_west_cloud,2023-06-01,12,1233,1.3940092165898617,1.3954659949622166,1.467455621301775,1.3163636363636364,1.2161490683229814,1.1863580998781973,1.172461752433936,1.191812865497076,1.327217125382263,1.4267241379310345
tas_west_cloud,2023-06-11,1,7208,2.5237226277372264,2.807926829268293,3.4987405541561714,2.545323741007194,1.8474195961106956,1.754185963662273,2.0545158665581775,1.7401524777636594,2.6050632911392406,3.791079812206573
tas_west_cloud,2023-06-11,2,6236,2.414233576642336,2.654471544715447,3.2317380352644838,2.437410071942446,1.7913238593866867,1.711435696473103,2.013018714401953,1.7007623888182972,2.5151898734177216,3.6056338028169015
tas_west_cloud,2023-06-11,3,6787,2.3065693430656933,2.522357723577236,2.9874055415617127,2.2719424460431656,1.7180254300673148,1.6572853580334876,1.982912937347437,1.653748411689962,2.3772151898734175,3.3309859154929575
tas_west_cloud,2023-06-11,4,5823,2.1697080291970803,2.361788617886179,2.783375314861461,2.135251798561151,1.6641735228122663,1.608835055219095,1.9292107404393817,1.6111817026683608,2.2468354430379747,3.096244131455399
tas_west_cloud,2023-06-11,5,6373,2.0255474452554743,2.207317073170732,2.579345088161209,2.046043165467626,1.617801047120419,1.5703598147488422,1.868185516680228,1.5762388818297333,2.1670886075949367,2.915492957746479
tas_west_cloud,2023-06-11,6,4786,1.8941605839416058,2.0813008130081303,2.429471032745592,1.9553956834532373,1.574420344053852,1.532597078731742,1.8083807973962571,1.5355781448538754,2.0848101265822785,2.7300469483568075
tas_west_cloud,2023-06-11,7,4167,1.812043795620438,1.975609756097561,2.3148614609571787,1.8748201438848922,1.531787584143605,1.4926968293551834,1.7607811228641173,1.5095298602287166,2.0037974683544304,2.556338028169014
tas_west_cloud,2023-06-11,8,4202,1.7408759124087592,1.9004065040650406,2.206549118387909,1.80431654676259,1.5026178010471205,1.4641966512290703,1.7152156224572823,1.4879288437102922,1.9468354430379746,2.426056338028169
tas_west_cloud,2023-06-11,9,3748,1.687956204379562,1.8333333333333333,2.1171284634760705,1.7323741007194244,1.4764397905759161,1.4406840042750266,1.6965012205044752,1.4656925031766201,1.8670886075949367,2.2816901408450705
tas_west_cloud,2023-06-11,10,3345,1.6003649635036497,1.733739837398374,2.005037783375315,1.6992805755395683,1.4517576664173524,1.42643391521197,1.6655817737998373,1.4390088945362134,1.8240506329113924,2.1854460093896715
tas_west_cloud,2023-06-11,11,2638,1.5045620437956204,1.6432926829268293,1.850125944584383,1.6510791366906474,1.4274495138369483,1.4114713216957606,1.6053702196908055,1.4301143583227447,1.7531645569620253,2.032863849765258
