region,solar_day,scene_cloud,valid_frac,cloud_frac,cloud_only_frac,shadow_frac,snow_frac,water_frac
alpine_snow,2023-06-01,68.7275817046969,1.0,0.901336669921875,0.901336669921875,0.0,0.098663330078125,0.0
alpine_snow,2023-06-03,99.29958095693114,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-06-06,64.5205266740891,1.0,0.863433837890625,0.8631134033203125,0.0003204345703125,0.1343536376953125,0.0
alpine_snow,2023-06-08,99.96679838487597,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-06-11,0.07019022505030527,1.0,0.02307891845703125,0.0145111083984375,0.00856781005859375,0.8197402954101562,0.000579833984375
alpine_snow,2023-06-13,82.80973463292207,1.0,0.6668930053710938,0.6586151123046875,0.00827789306640625,0.2673492431640625,0.000579833984375
alpine_snow,2023-06-16,45.72838527748412,1.0,0.8573989868164062,0.8546905517578125,0.00270843505859375,0.14260101318359375,0.0
alpine_snow,2023-06-18,98.87899177507705,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-06-21,0.6826923448151215,1.0,0.0009613037109375,0.0004730224609375,0.00048828125,0.998199462890625,0.00031280517578125
alpine_snow,2023-06-23,33.171744619294564,1.0,0.521240234375,0.51617431640625,0.00506591796875,0.478759765625,0.0
alpine_snow,2023-06-26,32.33835924370651,1.0,0.5892410278320312,0.5883560180664062,0.000885009765625,0.41075897216796875,0.0
alpine_snow,2023-06-28,99.9999867286439,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-07-01,50.31469454344807,1.0,0.04546356201171875,0.03922271728515625,0.0062408447265625,0.9515151977539062,0.00299072265625
alpine_snow,2023-07-03,18.471143707922128,1.0,0.012908935546875,0.00506591796875,0.007843017578125,0.987060546875,0.0
alpine_snow,2023-07-06,28.077214673332012,1.0,0.0548095703125,0.05410003662109375,0.00070953369140625,0.9436721801757812,0.00070953369140625
alpine_snow,2023-07-08,79.36708902757455,1.0,0.9003524780273438,0.9003524780273438,0.0,0.09964752197265625,0.0
alpine_snow,2023-07-11,32.493929746501614,1.0,0.48740386962890625,0.4806976318359375,0.00670623779296875,0.5098342895507812,0.002532958984375
alpine_snow,2023-07-13,14.285175847802487,1.0,0.528961181640625,0.31298065185546875,0.21598052978515625,0.471038818359375,0.0
alpine_snow,2023-07-16,11.631376572650332,1.0,0.21898651123046875,0.0181427001953125,0.20084381103515625,0.77972412109375,0.00023651123046875
alpine_snow,2023-07-18,11.323412994648326,1.0,0.00658416748046875,0.00493621826171875,0.00164794921875,0.988250732421875,0.000213623046875
alpine_snow,2023-07-21,50.531444891192756,1.0,0.11324310302734375,0.10176849365234375,0.011474609375,0.8867568969726562,0.0
alpine_snow,2023-07-23,23.420008560024684,1.0,0.19904327392578125,0.18305206298828125,0.0159912109375,0.8009567260742188,0.0
alpine_snow,2023-07-26,0.9957790723493127,1.0,0.04033660888671875,0.02230072021484375,0.018035888671875,0.956787109375,0.00028228759765625
